SmartZoneName,curb_zone_id,week,car,freight,truck,van,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Mid_Day,overnight,PM_Rush,Total_Events,Total_Dwell_Time,Average_Dwell_Time,Precipitation,log_events,retail_nn1,retail_nn2,retail_nn3,quick_grocery_nn1,quick_grocery_nn2,quick_grocery_nn3,dining_nn1,dining_nn2,dining_nn3,housing_nn1,housing_nn2,housing_nn3,commercial_nn1,commercial_nn2,commercial_nn3,industrial_nn1,industrial_nn2,industrial_nn3,civic_nn1,civic_nn2,civic_nn3,school_nn1,school_nn2,school_nn3,healthcare_nn1,healthcare_nn2,healthcare_nn3,parking_nn1,parking_nn2,parking_nn3,attraction_nn1,attraction_nn2,attraction_nn3
1000 Chestnut St (near 11 St),"181",47,21,0,0,2,2,2,5,6,1,2,5,1,10,12,"23",631.22,27.444347826087,0.4505,1.36172783601759," 458.0870"," 562.8278"," 606.3953","1346.787","1378.175","1403.977"," 994.35893","1020.06405","1083.6412"," 395.80676"," 400.9471"," 405.4735"," 346.69509"," 372.81799"," 384.88101","3288.889","3304.555","3319.309"," 268.9491"," 268.9491"," 269.3123"," 172.70510"," 208.46303"," 233.53480"," 105.92147"," 117.32443"," 130.50456","7653.510","7656.121","7658.493"," 276.51824"," 280.27934"," 291.83817"
1000 Chestnut St (near 11 St),"181",48,22,1,2,1,0,8,7,3,4,1,3,1,9,16,"26",832.35,32.0134615384615,6.7022,1.41497334797082," 458.0870"," 562.8278"," 606.3953","1346.787","1378.175","1403.977"," 994.35893","1020.06405","1083.6412"," 395.80676"," 400.9471"," 405.4735"," 346.69509"," 372.81799"," 384.88101","3288.889","3304.555","3319.309"," 268.9491"," 268.9491"," 269.3123"," 172.70510"," 208.46303"," 233.53480"," 105.92147"," 117.32443"," 130.50456","7653.510","7656.121","7658.493"," 276.51824"," 280.27934"," 291.83817"
1000 Chestnut St (near 11 St),"181",49,24,0,0,1,2,2,3,2,6,7,3,4,11,10,"25",696.8,27.872,8.1838,1.39794000867204," 458.0870"," 562.8278"," 606.3953","1346.787","1378.175","1403.977"," 994.35893","1020.06405","1083.6412"," 395.80676"," 400.9471"," 405.4735"," 346.69509"," 372.81799"," 384.88101","3288.889","3304.555","3319.309"," 268.9491"," 268.9491"," 269.3123"," 172.70510"," 208.46303"," 233.53480"," 105.92147"," 117.32443"," 130.50456","7653.510","7656.121","7658.493"," 276.51824"," 280.27934"," 291.83817"
1000 Chestnut St (near 11 St),"181",50,23,0,0,3,3,2,4,2,3,6,6,2,11,13,"26",869.52,33.4430769230769,15.9223,1.41497334797082," 458.0870"," 562.8278"," 606.3953","1346.787","1378.175","1403.977"," 994.35893","1020.06405","1083.6412"," 395.80676"," 400.9471"," 405.4735"," 346.69509"," 372.81799"," 384.88101","3288.889","3304.555","3319.309"," 268.9491"," 268.9491"," 269.3123"," 172.70510"," 208.46303"," 233.53480"," 105.92147"," 117.32443"," 130.50456","7653.510","7656.121","7658.493"," 276.51824"," 280.27934"," 291.83817"
1000 Chestnut St (near 11 St),"181",51,41,1,0,2,4,2,12,8,10,4,4,5,14,25,"44",1258.9,28.6113636363636,8.9926,1.64345267648619," 458.0870"," 562.8278"," 606.3953","1346.787","1378.175","1403.977"," 994.35893","1020.06405","1083.6412"," 395.80676"," 400.9471"," 405.4735"," 346.69509"," 372.81799"," 384.88101","3288.889","3304.555","3319.309"," 268.9491"," 268.9491"," 269.3123"," 172.70510"," 208.46303"," 233.53480"," 105.92147"," 117.32443"," 130.50456","7653.510","7656.121","7658.493"," 276.51824"," 280.27934"," 291.83817"
1000 Chestnut St (near 11 St),"181",52,26,0,0,0,0,1,7,7,1,6,4,2,10,14,"26",629.64,24.2169230769231,0,1.41497334797082," 458.0870"," 562.8278"," 606.3953","1346.787","1378.175","1403.977"," 994.35893","1020.06405","1083.6412"," 395.80676"," 400.9471"," 405.4735"," 346.69509"," 372.81799"," 384.88101","3288.889","3304.555","3319.309"," 268.9491"," 268.9491"," 269.3123"," 172.70510"," 208.46303"," 233.53480"," 105.92147"," 117.32443"," 130.50456","7653.510","7656.121","7658.493"," 276.51824"," 280.27934"," 291.83817"
1000 Chestnut St (near 11 St),"181",53,4,0,0,0,0,0,0,0,0,0,4,0,2,2,"4",10.31,2.5775,2.5013,0.602059991327962," 458.0870"," 562.8278"," 606.3953","1346.787","1378.175","1403.977"," 994.35893","1020.06405","1083.6412"," 395.80676"," 400.9471"," 405.4735"," 346.69509"," 372.81799"," 384.88101","3288.889","3304.555","3319.309"," 268.9491"," 268.9491"," 269.3123"," 172.70510"," 208.46303"," 233.53480"," 105.92147"," 117.32443"," 130.50456","7653.510","7656.121","7658.493"," 276.51824"," 280.27934"," 291.83817"
1000 Walnut Street (near 10 Street),"184",1,0,0,1,3,0,0,2,2,0,0,0,4,0,0,"4",121.11,30.2775,2.8022,0.602059991327962," 730.71629"," 860.8708"," 990.2851","1428.939","1973.205","1994.550"," 654.0521"," 759.38908"," 816.4153"," 112.75203"," 134.06875"," 144.05158"," 476.56204"," 492.01217"," 497.88540","3932.535","3951.376","3966.005"," 430.4938"," 601.9951"," 894.7813"," 195.69925"," 221.52911"," 232.97747","  37.37284","  46.76106","  55.44346","7071.369","7073.808","7076.007"," 328.49410"," 347.35668"," 360.65328"
1000 Walnut Street (near 10 Street),"184",2,0,0,2,3,0,1,1,0,2,1,0,5,0,0,"5",315.03,63.006,1.6321,0.698970004336019," 730.71629"," 860.8708"," 990.2851","1428.939","1973.205","1994.550"," 654.0521"," 759.38908"," 816.4153"," 112.75203"," 134.06875"," 144.05158"," 476.56204"," 492.01217"," 497.88540","3932.535","3951.376","3966.005"," 430.4938"," 601.9951"," 894.7813"," 195.69925"," 221.52911"," 232.97747","  37.37284","  46.76106","  55.44346","7071.369","7073.808","7076.007"," 328.49410"," 347.35668"," 360.65328"
1000 Walnut Street (near 10 Street),"184",3,0,0,2,0,0,0,2,0,0,0,0,2,0,0,"2",97.47,48.735,8.7113,0.301029995663981," 730.71629"," 860.8708"," 990.2851","1428.939","1973.205","1994.550"," 654.0521"," 759.38908"," 816.4153"," 112.75203"," 134.06875"," 144.05158"," 476.56204"," 492.01217"," 497.88540","3932.535","3951.376","3966.005"," 430.4938"," 601.9951"," 894.7813"," 195.69925"," 221.52911"," 232.97747","  37.37284","  46.76106","  55.44346","7071.369","7073.808","7076.007"," 328.49410"," 347.35668"," 360.65328"
