"SmartZoneName","curb_zone_id","week","Day","geometry"
"1000 Chestnut St (near 11 St)","181",43,"Tue","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",43,"Wed","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",43,"Thu","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",43,"Fri","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",43,"Sat","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",44,"Sun","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",44,"Mon","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",44,"Tue","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",44,"Wed","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",44,"Thu","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",44,"Fri","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",44,"Sat","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",45,"Sun","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",45,"Mon","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",45,"Tue","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",45,"Wed","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",45,"Thu","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",45,"Fri","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",45,"Sat","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",46,"Sun","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",46,"Mon","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",46,"Tue","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",46,"Wed","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",46,"Thu","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",46,"Fri","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",46,"Sat","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",47,"Sun","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",47,"Mon","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",47,"Tue","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",47,"Wed","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",47,"Thu","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",47,"Fri","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",47,"Sat","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",48,"Sun","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",48,"Mon","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",48,"Tue","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",48,"Wed","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",48,"Thu","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",48,"Fri","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",48,"Sat","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",49,"Sun","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",49,"Mon","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",49,"Tue","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",49,"Wed","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",49,"Thu","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",49,"Fri","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",49,"Sat","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",50,"Sun","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",50,"Mon","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",50,"Tue","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",50,"Wed","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",50,"Thu","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",50,"Fri","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",50,"Sat","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",51,"Sun","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",51,"Mon","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",51,"Tue","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",51,"Wed","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",51,"Thu","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",51,"Fri","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",51,"Sat","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",52,"Sun","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",52,"Mon","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",52,"Tue","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",52,"Wed","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",52,"Thu","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",52,"Fri","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",52,"Sat","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",53,"Sun","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",53,"Mon","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",53,"Tue","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",53,"Wed","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",53,"Thu","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",53,"Fri","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",53,"Sat","c(-75.1567807534209,  39.9500372620243)"
"1000 Walnut Street (near 10 Street)","184",1,"Sun","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",1,"Mon","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",1,"Tue","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",1,"Wed","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",1,"Thu","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",1,"Fri","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",1,"Sat","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",2,"Sun","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",2,"Mon","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",2,"Tue","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",2,"Wed","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",2,"Thu","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",2,"Fri","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",2,"Sat","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",3,"Sun","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",3,"Mon","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",3,"Tue","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",3,"Wed","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",3,"Thu","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",3,"Fri","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",3,"Sat","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",4,"Sun","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",4,"Mon","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",4,"Tue","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",4,"Wed","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",4,"Thu","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",4,"Fri","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",4,"Sat","c(-75.1582334354899,  39.9485835899346)"
"1000 Walnut Street (near 10 Street)","184",5,"Sun","c(-75.1582334354899,  39.9485835899346)"
